Area,Status,Project Name,Configuration,Carpet,Pricing,Elevation,Flats/Lifts,Amenities,Possession
,,,1bhk+balcony ,459,1.33cr++,,,,
,,,2bhk +balcony ,713,2.06cr++,,,,
,,,,,,,,,
Oshiwara ,UC,ID Vista ,2Bhk,766,2.69cr++,3B+G+7P+33,5Flats/6lifts,All Amenities,Dec2028
,,,,802,2.70cr++,,,,
,,,,848,3.10cr++,,,,
,,,3Bhk,1171,4.29cr++,,,,
,,,,,,,,,
Oshiwara ,UC,Bharat AuraVista,3Bhk,1251,5.00cr++,G+5P+36,6Flats/5lifts,All Amenities,Dec2027
,,,,1275,5.10cr++,,,,
,,,,1360,5.71cr++,,,,
,,,,,,,,,
Oshiwara ,UC,Paradiagm Alaya,1bhk,438,1.18Cr++,G+2P+40,7Flats/4Lifts,All Amenities,June2027
,,,,442,1.18Cr++,,,,
,,,,466,1.24Cr++,,,,
,,,,477,1.24Cr++,,,,
,,,2Bhk,565,1.50Cr++,,,,
,,,,567,1.50Cr++,,,,
,,,,648,1.74.Cr++,,,,
,,,,666,1.74.Cr++,,,,
,,,3Bhk,877,2.40.Cr++,,,,
,,,,882,2.40.Cr++,,,,
,,,,940,2.54Cr++,,,,
,,,,943,2.54Cr++,,,,
,,,,,,,,,
Oshiwara ,UC ,Roswalt Zaiden,1Bhk,401,1.25cr all in,G+4P+34,15Flats/9Lifts ,All Amenities,Jun2026
,,,2Bhk,603,1.82cr all in,,,,
,,,,608,1.82cr all in ,,,,
,,,,640,1.92cr all in,,,,
,,,,674,1.97cr all in ,,,,
,,,,676,1.97cr all in ,,,,
,,,1+1 Jodi,809,2.68cr all in ,,,,
,,,2+2 Jodi,1210,3.86cr all in ,,,,
,,,,"1052,",,,,,
Oshiwara ,NP,SMGK,1Rk,364,1.19cr all in,G+23,6Flat/3Lifts,All Amenities,Jul2025
,,,2Bhk,600,1.73cr all in ,,,,
,,,,,,,,,
,,,,,,,,,
"
CD-Barfiwala Road",UC,Parshwa darshan,2Bhk,747,2.99Cr++,G+13,3Flat/2Lifts,"Gymnasium,
Walking track,
Seat out Park,
Kids play area.",June-27
,,,2Bhk,765,3.06CR++,,,,
,,,3.5 Bhk,1518,6.07CR++,,,,
,,,,,,,,,
,,,,,,,,,
Lallu bhai Park,NP,Vivan Homes,2Bhk,767,3.45 All in,G+2P+10,4Flat/2Lifts,"Kids Play,Yoga",Oct-25
,,,3Bhk,1170,5.26 All in,,,Senior Citizen sit out,
,,,,,,,,,
"Lallu bhai Park
(Karl Residency Hotel)",UC,Navkar Shatrunjay,3Bhk+Balcony,1080,4.86CR++,G+1P+10,5Flat/3Lifts,"Mini home theatre,Gym,      Kids Play,      Waiting launge, Yoga and Meditation",July-27
,,,3Bhk+Balcony,1159,5.21CR++,,,,
,,,3Bhk+Balcony,1245,5.60CR++,,,,
,,,4Bhk+Balcony,1368,6.15CR++,,,,
,,,4Bhk+Balcony,1374,6.18CR++,,,,
,,,4Bhk+Balcony,1516,6.82CR++,,,,
,,,4Bhk+Balcony,1565,7.04Cr++,,,,
,,,,,,,,,
"Lallu bhai Park
(Karl Residency Hotel)",UC,Navkar Palace,2BHK,740,3.33Cr++,G+1P+10,"A- Wing 
(5Flat/3Lifts)




B- Wing 
(3Flat/2Lifts)","Garden,
Court 
Multipurpose,
Basket court,
Yoga and
 Fitness Centre",July-27
,,,,742,3.33Cr++,,,,
,,,3BHK+Balcony,933,4.20CR++,,,,
,,,,1035,4.66CR++,,,,
,,,,1068,4.80CR++,,,,
,,,,1137,5.12CR++,,,,
,,,4BHK+Balcony,1288,5.79CR++,,,,
,,,,1322,5.95CR++,,,,
,,,JODI (2+2),740+740=1480,6.67CR++,,,,
,,,,,,,,,
,,, ,,,,,,
